Designator,Quantity,Manufacturer,Manufacturer Part Number,Description
"C1, C2, C3, C4, C6",5,YAGEO,CC0603ZRY5V9BB104,"0.1 µF -20%, +80% 50V Ceramic Capacitor Y5V (F) 0603 (1608 Metric)"
C5,1,Murata Electronics,GRM188R6YA106MA73D,10 µF ±20% 35V Ceramic Capacitor X5R 0603 (1608 Metric)
"J1, J4",2,JST Sales America Inc.,BM04B-SRSS-TBT,"Connector Header Surface Mount 4 position 0.039"" (1.00mm)"
J2,1,JST Sales America Inc.,BM06B-GHS-TBT,"Connector Header Surface Mount 6 position 0.049"" (1.25mm)"
J3,1,JST Sales America Inc.,BM07B-GHS-TBT,"Connector Header Surface Mount 7 position 0.049"" (1.25mm)"
J5,1,JST Sales America Inc.,B4B-PH-SM4-TB,"Connector Header Surface Mount 4 position 0.079"" (2.00mm)"
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10",10,Adafruit,1655,NeoPixel 5050 RGB LED with Integrated Driver
R3,1,Vishay Dale,CRCW0402470RFKED,"470 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
U3,1,Sensirion,SCD41,HiLetgo SCD41 CO2 Carbon Dioxide Sensor (Amazon 14mm x 20mm modules)
U1,1,Adafruit,2226,NeoPixel Jewel - 7 x 5050 RGB LED with Integrated Drivers
