"Designator","Layer","Mid X","Mid Y","Rotation"
"U1","TopLayer","0,0000mm","2,0708mm","180"
"C6","BottomLayer","-2,6000mm","-11,4000mm","0"
"J1","BottomLayer","11,0000mm","-5,0875mm","0"
"C4","BottomLayer","-18,7000mm","11,7500mm","90"
"C3","BottomLayer","-13,6000mm","-3,3000mm","270"
"C2","BottomLayer","18,0000mm","-7,5000mm","90"
"C1","TopLayer","-11,4000mm","-11,9500mm","270"
"J3","BottomLayer","0,0000mm","-5,5500mm","180"
"R3","TopLayer","12,0000mm","-13,0000mm","0"
"U3","TopLayer","0,0000mm","-13,5000mm","0"
"J5","BottomLayer","-12,0000mm","15,6257mm","210"
"J2","BottomLayer","20,1500mm","0,0000mm","90"
"LED9","TopLayer","-23,3860mm","-2,1380mm","275"
"J4","BottomLayer","-22,5797mm","-7,7938mm","290"
"C5","TopLayer","-13,5000mm","-11,9500mm","90"
"LED10","TopLayer","-18,5000mm","-12,0000mm","0"
"LED8","TopLayer","-18,0000mm","15,0000mm","230"
"LED7","TopLayer","-9,3918mm","21,5237mm","204"
"LED6","TopLayer","-0,7000mm","23,4731mm","180"
"LED5","TopLayer","8,0000mm","22,1000mm","160"
"LED4","TopLayer","18,0000mm","15,0822mm","130"
"LED3","TopLayer","22,5639mm","6,5070mm","106"
"LED2","TopLayer","23,1317mm","-3,8000mm","80"
"LED1","TopLayer","18,5000mm","-12,0000mm","0"
